modelo_1,modelo_2,diferenca_de_acuracia,ic95_min,ic95_max,grupos_a_favor_do_1,grupos_a_favor_do_2,grupos_empatados,d_pareado_por_grupo,p_permutacional,p_ajustado_holm,significativo,p_ajustado_holm_por_linha
LinearSVC,Naive Bayes,0.1165,0.1028,0.1329,1961,549,7225,0.1644,0.0001,0.0021,sim,0.0
SGD,Naive Bayes,0.1005,0.0871,0.1163,1924,737,7074,0.1402,0.0001,0.0021,sim,0.0
Extra Trees,Naive Bayes,0.0986,0.0856,0.1141,1636,468,7631,0.1413,0.0001,0.0021,sim,0.0
LinearSVC,LSTM,0.0966,0.0875,0.1061,1682,349,7704,0.3133,0.0001,0.0021,sim,0.0
Regressao Logistica,Naive Bayes,0.0963,0.0826,0.1121,1970,842,6923,0.1332,0.0001,0.0021,sim,0.0
Random Forest,Naive Bayes,0.0882,0.0753,0.1035,1559,540,7636,0.1263,0.0001,0.0021,sim,0.0
SGD,LSTM,0.0805,0.0724,0.0891,1537,429,7769,0.261,0.0001,0.0021,sim,0.0
Extra Trees,LSTM,0.0786,0.0704,0.0873,1622,533,7580,0.2428,0.0001,0.0021,sim,0.0
Regressao Logistica,LSTM,0.0763,0.0684,0.0846,1505,456,7774,0.2467,0.0001,0.0021,sim,0.0
Random Forest,LSTM,0.0682,0.0604,0.0763,1555,615,7565,0.2094,0.0001,0.0021,sim,0.0
LinearSVC,Random Forest,0.0283,0.0229,0.0341,896,503,8336,0.1076,0.0001,0.0021,sim,0.0
LinearSVC,Regressao Logistica,0.0203,0.0156,0.0248,598,314,8823,0.0941,0.0001,0.0021,sim,0.0
LinearSVC,Extra Trees,0.018,0.013,0.0232,759,515,8461,0.0707,0.0001,0.0021,sim,0.0
LinearSVC,SGD,0.016,0.0118,0.0204,533,308,8894,0.0774,0.0001,0.0021,sim,0.0
SGD,Random Forest,0.0123,0.0071,0.0176,767,599,8369,0.0467,0.0001,0.0021,sim,2.1e-05
Extra Trees,Random Forest,0.0104,0.0073,0.0134,301,152,9282,0.0679,0.0001,0.0021,sim,0.0
SGD,Regressao Logistica,0.0042,0.0019,0.0067,161,102,9472,0.0369,0.0007,0.0035,sim,0.001393
LSTM,Naive Bayes,0.02,0.0068,0.0352,1487,1408,6840,0.0272,0.0042,0.0164,sim,4e-06
Regressao Logistica,Random Forest,0.0081,0.0025,0.0135,803,694,8238,0.0293,0.0041,0.0164,sim,0.011954
Extra Trees,Regressao Logistica,0.0023,-0.0031,0.0079,718,678,8339,0.0085,0.421158,0.842316,nao,0.819427
SGD,Extra Trees,0.0019,-0.0031,0.0072,643,624,8468,0.0076,0.477052,0.842316,nao,0.819427
