categoria,support,precision,recall,f1,concordancia,fonte
Elétrica > Sistema Fotovoltaico (FV),7,,,,0,docs/dados/metricas_por_categoria.json (concordancia vs. historico; sem precision/recall/F1)
Manutenção Preventiva,2,,,,0,docs/dados/metricas_por_categoria.json (concordancia vs. historico; sem precision/recall/F1)
Manutenção Preventiva > Sistemas de incêndio,9,,,,0.1111,docs/dados/metricas_por_categoria.json (concordancia vs. historico; sem precision/recall/F1)
"Instalação de Acessórios e Mobiliário > Instalação/reparo de equipamentos (Suportes de TV, acessórios de banheiro e quadro branco)",262,,,,0.1489,docs/dados/metricas_por_categoria.json (concordancia vs. historico; sem precision/recall/F1)
Outros > Outros,33,,,,0.2424,docs/dados/metricas_por_categoria.json (concordancia vs. historico; sem precision/recall/F1)
Estrutura Predial > Alvenaria / Pisos / Estrutura,1300,,,,0.3269,docs/dados/metricas_por_categoria.json (concordancia vs. historico; sem precision/recall/F1)
Área Externa e Ambiental > Drenagem,3,,,,0.3333,docs/dados/metricas_por_categoria.json (concordancia vs. historico; sem precision/recall/F1)
Outros > Erro de chamado,243,,,,0.428,docs/dados/metricas_por_categoria.json (concordancia vs. historico; sem precision/recall/F1)
"Estrutura Predial > Telhados, calhas, rufos, etc.",206,,,,0.466,docs/dados/metricas_por_categoria.json (concordancia vs. historico; sem precision/recall/F1)
Área Externa e Ambiental > Manutenção área externa / meio ambiente,94,,,,0.5,docs/dados/metricas_por_categoria.json (concordancia vs. historico; sem precision/recall/F1)
Elétrica > Instalações elétricas,940,,,,0.583,docs/dados/metricas_por_categoria.json (concordancia vs. historico; sem precision/recall/F1)
Climatização > Ar condicionado,517,,,,0.5996,docs/dados/metricas_por_categoria.json (concordancia vs. historico; sem precision/recall/F1)
Projetos e Reformas > Reforma,83,,,,0.6506,docs/dados/metricas_por_categoria.json (concordancia vs. historico; sem precision/recall/F1)
Hidrossanitária > Hidráulica,1276,,,,0.6865,docs/dados/metricas_por_categoria.json (concordancia vs. historico; sem precision/recall/F1)
"Segurança contra Incêndio > Sistemas de combate a incêndio (extintores, hidrantes)",27,,,,0.7037,docs/dados/metricas_por_categoria.json (concordancia vs. historico; sem precision/recall/F1)
Elétrica > Subestação,18,,,,0.7222,docs/dados/metricas_por_categoria.json (concordancia vs. historico; sem precision/recall/F1)
Manutenção Preventiva > Hidráulica,32,,,,0.75,docs/dados/metricas_por_categoria.json (concordancia vs. historico; sem precision/recall/F1)
Suprimentos / Apoio Técnico > Materiais,85,,,,0.7647,docs/dados/metricas_por_categoria.json (concordancia vs. historico; sem precision/recall/F1)
Climatização > Ar condicionado central,36,,,,0.7778,docs/dados/metricas_por_categoria.json (concordancia vs. historico; sem precision/recall/F1)
"Suprimentos / Apoio Técnico > Limpeza de equipamentos, ambiente e mobiliário",14,,,,0.7857,docs/dados/metricas_por_categoria.json (concordancia vs. historico; sem precision/recall/F1)
Manutenção Preventiva > Esgoto,33,,,,0.7879,docs/dados/metricas_por_categoria.json (concordancia vs. historico; sem precision/recall/F1)
Estrutura Predial > Infiltração,213,,,,0.8122,docs/dados/metricas_por_categoria.json (concordancia vs. historico; sem precision/recall/F1)
TI / Dados / Rede > Ponto de rede / fibra ótica / Wi-fi,399,,,,0.8195,docs/dados/metricas_por_categoria.json (concordancia vs. historico; sem precision/recall/F1)
"Estrutura Predial > Esquadrias, porta, portão e janelas",969,,,,0.839,docs/dados/metricas_por_categoria.json (concordancia vs. historico; sem precision/recall/F1)
Estrutura Predial > Forro,144,,,,0.8403,docs/dados/metricas_por_categoria.json (concordancia vs. historico; sem precision/recall/F1)
Estrutura Predial > Pintura,58,,,,0.8621,docs/dados/metricas_por_categoria.json (concordancia vs. historico; sem precision/recall/F1)
"Manutenção Preventiva > Telhados, calhas, rufos, etc.",44,,,,0.8636,docs/dados/metricas_por_categoria.json (concordancia vs. historico; sem precision/recall/F1)
Elétrica > Iluminação,747,,,,0.8675,docs/dados/metricas_por_categoria.json (concordancia vs. historico; sem precision/recall/F1)
Hidrossanitária > Bomba,38,,,,0.8684,docs/dados/metricas_por_categoria.json (concordancia vs. historico; sem precision/recall/F1)
Instalação de Acessórios e Mobiliário > Placas de identificação,54,,,,0.8889,docs/dados/metricas_por_categoria.json (concordancia vs. historico; sem precision/recall/F1)
Área Externa e Ambiental > Poda de Árvore / Roçagem,9,,,,0.8889,docs/dados/metricas_por_categoria.json (concordancia vs. historico; sem precision/recall/F1)
Manutenção Preventiva > Nobreak,10,,,,0.9,docs/dados/metricas_por_categoria.json (concordancia vs. historico; sem precision/recall/F1)
Equipamentos de Transporte > Elevador,22,,,,0.9091,docs/dados/metricas_por_categoria.json (concordancia vs. historico; sem precision/recall/F1)
Projetos e Reformas > Projeto,25,,,,0.92,docs/dados/metricas_por_categoria.json (concordancia vs. historico; sem precision/recall/F1)
Hidrossanitária > ETA / ETE,16,,,,0.9375,docs/dados/metricas_por_categoria.json (concordancia vs. historico; sem precision/recall/F1)
Manutenção Preventiva > Vistoria em Instalações,247,,,,0.9393,docs/dados/metricas_por_categoria.json (concordancia vs. historico; sem precision/recall/F1)
Climatização > Ar condicionado split,1117,,,,0.9427,docs/dados/metricas_por_categoria.json (concordancia vs. historico; sem precision/recall/F1)
Elétrica > Gerador,38,,,,0.9474,docs/dados/metricas_por_categoria.json (concordancia vs. historico; sem precision/recall/F1)
Manutenção Preventiva > Iluminação,132,,,,0.9545,docs/dados/metricas_por_categoria.json (concordancia vs. historico; sem precision/recall/F1)
Elétrica > Nobreak,127,,,,0.9606,docs/dados/metricas_por_categoria.json (concordancia vs. historico; sem precision/recall/F1)
Posto de trabalho > Contratação de Posto de trabalho,102,,,,0.9706,docs/dados/metricas_por_categoria.json (concordancia vs. historico; sem precision/recall/F1)
TI / Dados / Rede > Coleta de dados,40,,,,0.975,docs/dados/metricas_por_categoria.json (concordancia vs. historico; sem precision/recall/F1)
Manutenção Preventiva > Elevador,86,,,,0.9767,docs/dados/metricas_por_categoria.json (concordancia vs. historico; sem precision/recall/F1)
Manutenção Preventiva > Quadros Elétricos,576,,,,0.9774,docs/dados/metricas_por_categoria.json (concordancia vs. historico; sem precision/recall/F1)
Manutenção Preventiva > Reservatório,279,,,,0.9785,docs/dados/metricas_por_categoria.json (concordancia vs. historico; sem precision/recall/F1)
Manutenção Preventiva > Ar condicionado split,1795,,,,0.9811,docs/dados/metricas_por_categoria.json (concordancia vs. historico; sem precision/recall/F1)
Manutenção Preventiva > Gerador,1211,,,,0.9827,docs/dados/metricas_por_categoria.json (concordancia vs. historico; sem precision/recall/F1)
Manutenção Preventiva > Ar condicionado central,165,,,,0.9879,docs/dados/metricas_por_categoria.json (concordancia vs. historico; sem precision/recall/F1)
"Manutenção Preventiva > Sistemas de combate a incêndio (extintores, hidrantes)",45,,,,1,docs/dados/metricas_por_categoria.json (concordancia vs. historico; sem precision/recall/F1)
Manutenção Preventiva > Extintor,14,,,,1,docs/dados/metricas_por_categoria.json (concordancia vs. historico; sem precision/recall/F1)
Manutenção Preventiva > Poços artesianos,13,,,,1,docs/dados/metricas_por_categoria.json (concordancia vs. historico; sem precision/recall/F1)
"Estrutura Predial > Instalações Especiais (gás, ar comprimido, etc.)",3,,,,1,docs/dados/metricas_por_categoria.json (concordancia vs. historico; sem precision/recall/F1)
Manutenção Preventiva > Aplicação cupinicida,3,,,,1,docs/dados/metricas_por_categoria.json (concordancia vs. historico; sem precision/recall/F1)
Manutenção Preventiva > Bomba,3,,,,1,docs/dados/metricas_por_categoria.json (concordancia vs. historico; sem precision/recall/F1)
Suprimentos / Apoio Técnico > Transporte,1,,,,1,docs/dados/metricas_por_categoria.json (concordancia vs. historico; sem precision/recall/F1)
