codigo,categoria
C01,Climatização > Ar condicionado
C02,Elétrica > Instalações elétricas
C03,Estrutura Predial > Alvenaria / Pisos / Estrutura
C04,"Estrutura Predial > Esquadrias, porta, portão e janelas"
C05,Hidrossanitária > Hidráulica
C06,"Instalação de Acessórios e Mobiliário > Instalação/reparo de equipamentos (Suportes de TV, acessórios de banheiro e quadro branco)"
C07,Manutenção Preventiva > Ar condicionado split
C08,Manutenção Preventiva > Reservatório
C09,Outros > Erro de chamado
C10,TI / Dados / Rede > Ponto de rede / fibra ótica / Wi-fi
