modelo,classe,categorias,chamados,proporcao_do_volume,acuracia,macro_f1
Extra Trees,A,12,11433,0.8183,0.8488,0.7978
Extra Trees,B,12,1912,0.1368,0.6778,0.7447
Extra Trees,C,17,627,0.0449,0.4466,0.4455
LinearSVC,A,12,11433,0.8183,0.8539,0.8207
LinearSVC,B,12,1912,0.1368,0.7416,0.7521
LinearSVC,C,17,627,0.0449,0.5582,0.5018
LSTM,A,12,11433,0.8183,0.7586,0.7435
LSTM,B,12,1912,0.1368,0.636,0.6356
LSTM,C,17,627,0.0449,0.4673,0.2903
Naive Bayes,A,12,11433,0.8183,0.8239,0.688
Naive Bayes,B,12,1912,0.1368,0.2291,0.2527
Naive Bayes,C,17,627,0.0449,0.0718,0.0477
Random Forest,A,12,11433,0.8183,0.8388,0.7839
Random Forest,B,12,1912,0.1368,0.6658,0.7312
Random Forest,C,17,627,0.0449,0.4338,0.4141
Regressao Logistica,A,12,11433,0.8183,0.8203,0.8003
Regressao Logistica,B,12,1912,0.1368,0.7814,0.7545
Regressao Logistica,C,17,627,0.0449,0.5981,0.5158
SGD,A,12,11433,0.8183,0.8263,0.8025
SGD,B,12,1912,0.1368,0.7746,0.7549
SGD,C,17,627,0.0449,0.6045,0.5091
