linha	categoria_historica	pred_naive_bayes	conf_naive_bayes	acerto_naive_bayes	pred_regressao_logistica	conf_regressao_logistica	acerto_regressao_logistica	pred_linear_svc	conf_linear_svc	acerto_linear_svc	pred_sgd	conf_sgd	acerto_sgd	pred_extra_trees	conf_extra_trees	acerto_extra_trees	pred_random_forest	conf_random_forest	acerto_random_forest	pred_lstm	conf_lstm	acerto_lstm
2	Elétrica > Instalações elétricas	Elétrica > Iluminação	0.3397	0	Elétrica > Iluminação	0.1147	0	Elétrica > Iluminação	0.1103	0	Elétrica > Iluminação	0.5127	0	Elétrica > Iluminação	0.41	0	Elétrica > Iluminação	0.215	0	Manutenção Preventiva > Extintor	0.2494	0
3	Elétrica > Iluminação	Elétrica > Iluminação	0.4035	1	Elétrica > Iluminação	0.1502	1	Elétrica > Iluminação	0.1893	1	Elétrica > Iluminação	0.907	1	Elétrica > Iluminação	0.73	1	Elétrica > Iluminação	0.52	1	Elétrica > Iluminação	0.992	1
4	Elétrica > Instalações elétricas	Elétrica > Iluminação	0.2502	0	Estrutura Predial > Esquadrias, porta, portão e janelas	0.1018	0	Elétrica > Nobreak	0.0958	0	Elétrica > Nobreak	0.2929	0	Elétrica > Iluminação	0.565	0	Elétrica > Iluminação	0.205	0	Suprimentos / Apoio Técnico > Materiais	0.4111	0
5	Climatização > Ar condicionado	Climatização > Ar condicionado	0.2752	1	Estrutura Predial > Alvenaria / Pisos / Estrutura	0.1191	0	Climatização > Ar condicionado	0.1165	1	Climatização > Ar condicionado	0.4889	1	Climatização > Ar condicionado	0.45	1	Climatização > Ar condicionado	0.405	1	Climatização > Ar condicionado	0.8823	1
6	Elétrica > Instalações elétricas	Elétrica > Iluminação	0.3287	0	Elétrica > Iluminação	0.1069	0	Elétrica > Instalações elétricas	0.1104	1	Elétrica > Instalações elétricas	0.5599	1	Elétrica > Iluminação	0.74	0	Elétrica > Iluminação	0.48	0	Elétrica > Instalações elétricas	0.3249	1
7	Estrutura Predial > Alvenaria / Pisos / Estrutura	Elétrica > Iluminação	0.3175	0	Elétrica > Iluminação	0.1257	0	Elétrica > Iluminação	0.1242	0	Elétrica > Iluminação	0.3175	0	Elétrica > Iluminação	0.875	0	Elétrica > Iluminação	0.43	0	Área Externa e Ambiental > Poda de Árvore / Roçagem	0.2176	0
8	Elétrica > Iluminação	Elétrica > Iluminação	0.3179	1	Estrutura Predial > Esquadrias, porta, portão e janelas	0.1105	0	Estrutura Predial > Esquadrias, porta, portão e janelas	0.1	0	Estrutura Predial > Esquadrias, porta, portão e janelas	0.2567	0	Elétrica > Iluminação	0.605	1	Elétrica > Iluminação	0.395	1	Elétrica > Iluminação	0.8299	1
9	Elétrica > Instalações elétricas	Elétrica > Iluminação	0.3239	0	Elétrica > Instalações elétricas	0.1185	1	Elétrica > Instalações elétricas	0.1239	1	Elétrica > Instalações elétricas	0.5489	1	Elétrica > Iluminação	0.59	0	Elétrica > Iluminação	0.32	0	Elétrica > Instalações elétricas	0.3217	1
10	Estrutura Predial > Alvenaria / Pisos / Estrutura	Elétrica > Instalações elétricas	0.2682	0	Outros > Erro de chamado	0.1374	0	Outros > Erro de chamado	0.1124	0	Outros > Erro de chamado	0.554	0	Climatização > Ar condicionado	0.3	0	Elétrica > Instalações elétricas	0.235	0	Projetos e Reformas > Projeto	0.1093	0
11	Elétrica > Instalações elétricas	Elétrica > Iluminação	0.2812	0	Elétrica > Iluminação	0.1162	0	Elétrica > Instalações elétricas	0.1211	1	Elétrica > Instalações elétricas	0.6212	1	Elétrica > Iluminação	0.76	0	Elétrica > Iluminação	0.41	0	Elétrica > Iluminação	0.9537	0
