id_sha256,outer_fold,referencia_humana,previsto,confianca
00064384151815b2e2fe1e2e3e6c97e632d228a84224ee5d831014cc4a9f880d,3,Manutenção Preventiva > Ar condicionado central,Manutenção Preventiva > Ar condicionado central,0.187721
0015a56b54178dc5870c1423d6e86089feb424ae77e2441b38f4a7eb3d93aa44,3,TI / Dados / Rede > Ponto de rede / fibra ótica / Wi-fi,TI / Dados / Rede > Ponto de rede / fibra ótica / Wi-fi,0.089419
0018727dea2be7948ef46372162df715353a75d31d7000b8b7f31df75b936c87,3,Manutenção Preventiva > Ar condicionado central,Manutenção Preventiva > Ar condicionado central,0.187721
001913f5c279362b13924376707d17d8780e160be0952f50ed4a18e72b101afd,3,Hidrossanitária > Hidráulica,Hidrossanitária > Hidráulica,0.159475
001d1ef8f0cf2c86404ded9c7b02d37bfcfc11052bd71e2f1444ecdb85c33baa,5,Manutenção Preventiva > Gerador,Manutenção Preventiva > Gerador,0.18261
0020f38cfcb34e68869b58337ed2b266b01904ec26c1cb9b3be815a040999e20,3,Elétrica > Instalações elétricas,Elétrica > Instalações elétricas,0.090975
002aea945a8b76cd924377bf3cb6725e2bc3d827ba63c3899cbbaab6a2980420,2,Manutenção Preventiva > Gerador,Manutenção Preventiva > Gerador,0.160117
0032c756d362ef137e0ac28f15d7bc36105c95f10622b4aa55c5fe801ccf68dd,5,Manutenção Preventiva > Quadros Elétricos,Manutenção Preventiva > Quadros Elétricos,0.171957
0032d5995f00ea5f7089292cda4b9b7362a23d1d857b53d91d28da687773f62f,3,Estrutura Predial > Alvenaria / Pisos / Estrutura,"Instalação de Acessórios e Mobiliário > Instalação/reparo de equipamentos (Suportes de TV, acessórios de banheiro e quadro branco)",0.085924
003387edcbf37cb9a36b84bc68cbec6282f5726ba83dfb4918b50c930731a5c3,1,Manutenção Preventiva > Quadros Elétricos,Manutenção Preventiva > Quadros Elétricos,0.174889
00371d61a5aa26de409f8f53b26357c0900424bad599ebe5fc72e22d46df4e98,4,Climatização > Ar condicionado split,Climatização > Ar condicionado split,0.282817
0037b3d9bc0373a7339a7879cfcbda927788455ee563e9bc54229d40b99b024c,5,Manutenção Preventiva > Gerador,Manutenção Preventiva > Gerador,0.18261
0040718ecef7d21db505c67c32424b4c8f91d115e390bac38d15212e15c71089,4,Hidrossanitária > Hidráulica,Hidrossanitária > Hidráulica,0.075085
0041f4aa491b35c8859d5b8987a76e8728132681d54e01ec00d1c33b07a7a488,3,Estrutura Predial > Alvenaria / Pisos / Estrutura,Estrutura Predial > Alvenaria / Pisos / Estrutura,0.056897
004a96504e213adbf8762b63fd936f3a8f9dbfaa58f745a1dff9290a59a3ecc2,3,Outros > Erro de chamado,Outros > Erro de chamado,0.044582
