id_sha256,dobra,referencia_humana,modelo,previsto,confianca
277375b99e186c72ac38ac47b03199038342fe0389be8765476fa2be0c5b5649,4,Elétrica > Instalações elétricas,naive_bayes,Elétrica > Instalações elétricas,0.459733
52dccb00ef70525335ea6c6ba31bb8082b2a474c751100370e54e7016485a39a,1,Elétrica > Iluminação,naive_bayes,Elétrica > Iluminação,0.949806
da9570a2a77104e59f0185cff795f508d23173949032cf0b90de9dfffaefaad3,3,Elétrica > Instalações elétricas,naive_bayes,Climatização > Ar condicionado split,0.292287
7ba7d31bfa1ed86327ecfa9deb2dd8a44488fba943ca78c86c1e21f2d1be0a10,4,Climatização > Ar condicionado split,naive_bayes,Climatização > Ar condicionado split,0.972566
c649b15e769148e6b199b7a671140d60c77847fce6fe17277723dc91f0b27d4c,3,Elétrica > Instalações elétricas,naive_bayes,Elétrica > Instalações elétricas,0.358444
a2258ffaf9a1490a7a7a01c282b1fe03224a2952b119c3f32b1de4739407cd58,5,Estrutura Predial > Alvenaria / Pisos / Estrutura,naive_bayes,Climatização > Ar condicionado split,0.340207
ef4cf73add6b6f476ece3477b6235878bc8a0de65fe7f561200ebac7f18db18a,3,Elétrica > Iluminação,naive_bayes,Elétrica > Instalações elétricas,0.328023
35fae39286f862cb505a3f0cac0b0d506f9a407cf9227d3c2ae2c67d5ec0d0f5,3,Elétrica > Instalações elétricas,naive_bayes,Elétrica > Instalações elétricas,0.653842
a8caa602fb66f78027e2035b4200e304e21bb21b88ff6c16e516c3f27955dc45,4,Estrutura Predial > Alvenaria / Pisos / Estrutura,naive_bayes,Elétrica > Instalações elétricas,0.345474
e49ec846db7527df7ff483009fe61700e6435072c8c5b551ab08f0a13fc45a07,4,Elétrica > Iluminação,naive_bayes,Elétrica > Instalações elétricas,0.338402
9aec25da37c5143655198925302a995797eeef538933800b67b87c48de7ad120,5,Elétrica > Iluminação,naive_bayes,Climatização > Ar condicionado split,0.332149
59279341ea59fbf34025024596b670b6df2c9f80e71b9ad19aea71ba43b083fc,1,Climatização > Ar condicionado split,naive_bayes,Climatização > Ar condicionado split,0.947562
81a83544cf93c245178cbc1620030f1123f435af867c79d87135983c52ab39d9,2,Elétrica > Iluminação,naive_bayes,Elétrica > Iluminação,0.446192
85d6385b945c0d602103db39b0b654b2af93b5127938e26a959c123f0789b948,2,Elétrica > Iluminação,naive_bayes,Elétrica > Iluminação,0.399736
7931aa2a1bed855457d1ddf6bc06ab4406a9fba0579045a4d6ff78f9c07c440f,1,Outros > Erro de chamado,naive_bayes,Climatização > Ar condicionado split,0.190735
7a77addc91c0fa49afb654771d3f0f4094a9ea940633742da46ef5c7dadfd933,3,Climatização > Ar condicionado split,naive_bayes,Climatização > Ar condicionado split,0.915379
